directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
3420,0,3420,4,1,2016-10-13 15:24:27,1,2016-11-11 00:00:00
3421,0,3421,5,1,2016-10-13 15:24:27,1,2016-11-11 00:00:00
3422,0,3422,6,1,2016-10-13 15:24:27,1,2016-11-11 00:00:00
3426,0,3426,1,1,2016-09-01 10:53:58,1,2016-11-11 00:00:00
3427,0,3427,2,1,2016-09-01 10:53:58,1,2016-11-11 00:00:00
3428,0,3428,3,1,2016-09-01 10:53:58,1,2016-11-11 00:00:00
3429,0,3429,4,1,2016-09-01 10:53:58,1,2016-11-11 00:00:00
3430,0,3430,5,1,2016-09-01 10:53:58,1,2016-11-11 00:00:00
3440,0,3440,1,1,2016-09-15 14:29:58,1,2016-11-11 00:00:00
3441,0,3441,2,1,2016-09-15 14:29:58,1,2016-11-11 00:00:00
3442,0,3442,3,1,2016-09-15 14:29:58,1,2016-11-11 00:00:00
3443,0,3443,4,1,2016-09-15 14:29:58,1,2016-11-11 00:00:00
3444,0,3444,1,1,2016-07-14 11:50:29,1,2016-11-11 00:00:00
3445,0,3445,2,1,2016-07-14 11:50:29,1,2016-11-11 00:00:00
3446,0,3446,3,1,2016-07-14 11:50:29,1,2016-11-11 00:00:00
3447,0,3447,4,1,2016-07-14 11:50:29,1,2016-11-11 00:00:00
3448,0,3448,5,1,2016-07-14 11:50:29,1,2016-11-11 00:00:00
3449,0,3449,6,1,2016-07-14 11:50:29,1,2016-11-11 00:00:00
3454,0,3454,1,1,2016-06-17 14:59:43,1,2016-11-11 00:00:00
3455,0,3455,2,1,2016-06-17 14:59:43,1,2016-11-11 00:00:00
3456,0,3456,3,1,2016-06-17 14:59:43,1,2016-11-11 00:00:00
3457,0,3457,4,1,2016-06-17 14:59:43,1,2016-11-11 00:00:00
3458,0,3458,5,1,2016-06-17 14:59:43,1,2016-11-11 00:00:00
3476,0,3476,1,1,2016-06-02 15:22:07,1,2016-11-11 00:00:00
3477,0,3477,2,1,2016-06-02 15:22:07,1,2016-11-11 00:00:00
3541,0,3541,1,1,2016-03-10 17:26:49,1,2016-11-11 00:00:00
3542,0,3542,2,1,2016-03-10 17:26:49,1,2016-11-11 00:00:00
3543,0,3543,3,1,2016-03-10 17:26:49,1,2016-11-11 00:00:00
3544,0,3544,4,1,2016-03-10 17:26:49,1,2016-11-11 00:00:00
3545,0,3545,5,1,2016-03-10 17:26:49,1,2016-11-11 00:00:00
3546,0,3546,6,1,2016-03-10 17:26:49,1,2016-11-11 00:00:00
4112,0,4112,1,1,2016-01-15 12:28:07,1,2016-11-11 00:00:00
4113,0,4113,2,1,2016-01-15 12:28:07,1,2016-11-11 00:00:00
4114,0,4114,3,1,2016-01-15 12:28:07,1,2016-11-11 00:00:00
4115,0,4115,4,1,2016-01-15 12:28:07,1,2016-11-11 00:00:00
4116,0,4116,5,1,2016-01-15 12:28:07,1,2016-11-11 00:00:00
4127,0,4127,1,1,2016-01-29 13:34:55,1,2016-11-11 00:00:00
4128,0,4128,2,1,2016-01-29 13:34:55,1,2016-11-11 00:00:00
4129,0,4129,3,1,2016-01-29 13:34:55,1,2016-11-11 00:00:00
4130,0,4130,4,1,2016-01-29 13:34:55,1,2016-11-11 00:00:00
4136,0,4136,1,1,2016-10-06 11:36:07,1,2016-11-11 00:00:00
4137,0,4137,2,1,2016-10-06 11:36:07,1,2016-11-11 00:00:00
4138,0,4138,3,1,2016-10-06 11:36:07,1,2016-11-11 00:00:00
